metID,mets,metNames,metFormulas,metCharges,metSEEDID,metKEGGID,metHMDBID,metChEBIID,metPubChemID,metSmiles,b,csense
cpdAGORA0027,13mmyrsACP[c],"13-methyl-tetra-decanoyl-ACP",C26H49N2O8PRS,-1,cpd11540,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0028,13mtmrs2eACP[c],"13-methyl-trans-tetra-dec-2-enoyl-ACP",C26H47N2O8PRS,-1,cpd11539,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0029,14m3hpalmACP[c],"14-methyl-3-hydroxy-hexa-decanoyl-ACP",C28H53N2O9PRS,-1,cpd11517,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0030,14m3hpentdecACP[c],"14-methyl-3-hydroxy-pentadecanoyl-ACP",C27H51N2O9PRS,-1,cpd11567,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0031,14m3opalmACP[c],"14-methyl-3-oxo-hexa-decanoyl-ACP",C28H51N2O9PRS,-1,cpd11516,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0032,14m3opentdecACP[c],"14-methyl-3-oxo-pentadecanoyl-ACP",C27H49N2O9PRS,-1,cpd11566,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0033,14mpalmACP[c],"14-methyl-hexa-decanoyl-ACP",C28H53N2O8PRS,-1,cpd11519,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0034,14mpentdecACP[c],"14-methyl-pentadecanoyl-ACP",C27H51N2O8PRS,-1,cpd11569,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0035,14mtpalm2eACP[c],"14-methyl-trans-hexa-dec-2-enoyl-ACP",C28H51N2O8PRS,-1,cpd11518,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0036,15dap[c],"1,5-Diaminopentane",C5H16N2,2,cpd01155,C01672,HMDB0002322,CHEBI:18127,273,,0,E
cpdAGORA0037,15m3hpalmACP[c],"15-methyl-3-hydroxy-hexa-decanoyl-ACP",C28H53N2O9PRS,-1,cpd11542,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0038,15m3opalmACP[c],"15-methyl-3-oxo-hexa-decanoyl-ACP",C28H51N2O9PRS,-1,cpd11541,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0039,15mpalmACP[c],"15-methyl-hexa-decanoyl-ACP",C28H53N2O8PRS,-1,cpd11544,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0040,15mtpalm2eACP[c],"15-methyl-trans-hexa-dec-2-enoyl-ACP",C28H51N2O8PRS,-1,cpd11543,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0041,15phytn[c],"15-cis-Phytoene",C40H64,0,cpd03211,C05421,HMDB0039093,CHEBI:27787,9963391,,0,E
cpdAGORA0042,1agpe120[c],"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)",C17H36NO7P1,0,cpd15313,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0043,1agpe140[c],"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)",C19H40NO7P1,0,cpd15314,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0044,1agpe141[c],"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)",C19H38NO7P1,0,cpd15315,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0045,1agpe160[c],"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)",C21H44NO7P1,0,cpd15316,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0046,1agpe161[c],"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)",C21H42NO7P1,0,cpd15317,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0047,1agpe180[c],"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)",C23H48NO7P1,0,cpd12547,C04438,NaN,CHEBI:29017,NaN,,0,E
cpdAGORA0048,1agpe181[c],"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)",C23H46NO7P1,0,NaN,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0049,1agpg120[c],"1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)",C18H36O9P1,-1,cpd15318,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0050,1agpg140[c],"1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)",C20H40O9P1,-1,cpd15319,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0051,1agpg141[c],"1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)",C20H38O9P1,-1,cpd15320,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0052,1agpg160[c],"1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)",C22H44O9P1,-1,cpd15321,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0053,1agpg161[c],"1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)",C22H42O9P1,-1,cpd15322,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0054,1agpg180[c],"1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)",C24H48O9P1,-1,cpd15323,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0055,1agpg181[c],"1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)",C24H46O9P1,-1,cpd15324,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0056,1aihpdecg3p[c],"1-anteisoheptadecanoyl-sn-glycerol 3-phosphate (14-methyl-hexadecanoyl, anteiso-C17)",C20H39O7P,-2,cpd15672,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0057,1aipdecg3p[c],"1-anteisopentadecanoyl-sn-glycerol 3-phosphate (12-methyl-tetradecanoyl, anteiso-C15)",C18H36O7P,-1,cpd15675,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0058,1ddecg3p[c],"1-acyl-sn-glycerol 3-phosphate(2-)",C15H29O7P1,-2,cpd15325,C00547,HMDB0000216,CHEBI:18357,439260,,0,E
cpdAGORA0059,1hdec9eg3p[c],"1-hexadec-9-enoyl-sn-glycerol 3-phosphate",C19H35O7P1,-2,cpd15326,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0060,1hdecg3p[c],"1-hexadecanoyl-sn-glycerol 3-phosphate",C19H37O7P1,-2,cpd15327,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0061,1ihdecg3p[c],"1-isohexadecanoyl-sn-glycerol 3-phosphate (14-methyl-pentadecanoyl, iso-C16)",C19H38O7P,-1,cpd15676,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0062,1ihpdecg3p[c],"1-isoheptadecanoyl-sn-glycerol 3-phosphate (15-methyl-hexadecanoyl, iso-C17)",C20H39O7P,-2,cpd15671,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0063,1ipdecg3p[c],"1-isopentadecanoyl-sn-glycerol 3-phosphate (13-methyl-tetradecanoyl, iso-C15)",C18H36O7P,-1,cpd15674,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0064,1itdecg3p[c],"1-isotetradecanoyl-sn-glycerol 3-phosphate (12-methyl-tridecanoyl, iso-C14)",C17H34O7P,-1,cpd15673,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0065,1odec11eg3p[c],"1-octadec-11-enoyl-sn-glycerol 3-phosphate",C21H39O7P1,-2,cpd15328,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0066,1odecg3p[c],"1-octadecanoyl-sn-glycerol 3-phosphate",C21H41O7P1,-2,cpd15329,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0067,1pyr5c[c],"1-Pyrroline-5-carboxylate",C5H6NO2,-1,cpd02431,C04322,HMDB0001301,CHEBI:371,11966181,,0,E
cpdAGORA0068,1tdec7eg3p[c],"1-tetradec-7-enoyl-sn-glycerol 3-phosphate",C17H31O7P1,-2,cpd15330,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0069,1tdecg3p[c],"1-tetradecanoyl-sn-glycerol 3-phosphate",C17H33O7P1,-2,cpd15331,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0070,23dhdp[c],"2,3-Dihydrodipicolinate",C7H5NO4,-2,cpd02120,C03340,HMDB0012247,CHEBI:48052,21864158,,0,E
cpdAGORA0071,23dhmb[c],"(R)-2,3-Dihydroxy-3-methylbutanoate",C5H9O4,-1,cpd02498,C04039,HMDB0012141,CHEBI:15684,677,,0,E
cpdAGORA0072,23dhmp[c],"(R)-2,3-Dihydroxy-3-methylpentanoate",C6H11O4,-1,cpd02535,C04104,HMDB0012140,CHEBI:27512,21145376,,0,E
cpdAGORA0073,25aics[c],"(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate",C13H15N4O12P,-4,cpd02921,C04823,HMDB0000797,CHEBI:18319,160666,,0,E
cpdAGORA0074,26dap_LL[c],"LL-2,6-Diaminoheptanedioate",C7H14N2O4,0,cpd00504,C00666,HMDB0001370,CHEBI:16488,1549101,,0,E
cpdAGORA0075,26dap_M[c],"meso-2,6-Diaminoheptanedioate",C7H14N2O4,0,cpd00516,C00680,HMDB01370,CHEBI:16026,3949,,0,E
cpdAGORA0076,2agpe120[c],"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)",C17H36NO7P1,0,cpd15336,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0077,2agpe140[c],"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)",C19H40NO7P1,0,cpd15337,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0078,2agpe141[c],"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)",C19H38NO7P1,0,cpd15338,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0079,2agpe160[c],"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)",C21H44NO7P1,0,cpd15339,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0080,2agpe161[c],"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)",C21H42NO7P1,0,cpd15340,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0081,2agpe180[c],"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)",C23H48NO7P1,0,cpd15341,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0082,2agpe181[c],"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)",C23H46NO7P1,0,cpd15342,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0083,2agpg120[c],"2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)",C18H36O9P1,-1,cpd15343,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0084,2agpg140[c],"2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)",C20H40O9P1,-1,cpd15344,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0085,2agpg141[c],"2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)",C20H38O9P1,-1,cpd15345,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0086,2agpg160[c],"2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)",C22H44O9P1,-1,cpd15346,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0087,2agpg161[c],"2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)",C22H42O9P1,-1,cpd15347,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0088,2agpg180[c],"2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)",C24H48O9P1,-1,cpd15348,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0089,2agpg181[c],"2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)",C24H46O9P1,-1,cpd15349,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0090,2ahbut[c],"(S)-2-Aceto-2-hydroxybutanoate",C6H9O4,-1,cpd00498,C00659,NaN,CHEBI:982,NaN,,0,E
cpdAGORA0091,2aobut[c],"L-2-amino-3-oxobutanoic acid",C4H7NO3,0,cpd02211,C03508,HMDB0006454,CHEBI:40673,440033,,0,E
cpdAGORA0092,2dda7p[c],"2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate",C7H10O10P,-3,cpd02857,C04691,NaN,CHEBI:18150,NaN,,0,E
cpdAGORA0093,2ddecg3p[c],"2-dodecanoyl-sn-glycerol 3-phosphate",C15H30O7P1,-1,cpd15350,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0094,2ddg6p[c],"2-Dehydro-3-deoxy-D-gluconate 6-phosphate",C6H8O9P,-3,cpd02711,C04442,HMDB0001376,CHEBI:15925,44229082,,0,E
cpdAGORA0095,2ddglcn[c],"2-Dehydro-3-deoxy-D-gluconate",C6H9O6,-1,cpd00176,C00204,NaN,CHEBI:17032,3504,,0,E
cpdAGORA0096,2dhp[c],"2-Dehydropantoate",C6H9O4,-1,cpd00712,C00966,NaN,CHEBI:11561,38,,0,E
cpdAGORA0097,2dmmq8[c],"2-Demethylmenaquinone 8",C50H70O2,0,cpd15352,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0098,2dr1p[c],"2-Deoxy-D-ribose 1-phosphate",C5H9O7P,-2,cpd00509,C00672,HMDB0001351,CHEBI:28542,439287,,0,E
cpdAGORA0099,2dr5p[c],"2-deoxy-D-ribose 5-phosphate(2-)",C5H9O7P,-2,cpd00510,C00673,HMDB0001031,CHEBI:16132,45934311,,0,E
cpdAGORA0100,2h3oppan[c],"2-Hydroxy-3-oxopropanoate",C3H3O4,-1,cpd00843,C01146,HMDB0006938,CHEBI:16992,1122,,0,E
cpdAGORA0101,2hdec9eg3p[c],"2-hexadec-9-enoyl-sn-glycerol 3-phosphate",C19H36O7P1,-1,cpd15354,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0102,2hdecg3p[c],"2-hexadecanoyl-sn-glycerol 3-phosphate",C19H38O7P1,-1,cpd15355,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0103,2ippm[c],"2-Isopropylmaleate",C7H8O4,-2,cpd01710,C02631,HMDB0012241,CHEBI:17275,5280533,,0,E
cpdAGORA0104,2maacoa[c],"2-methylacetoacetyl-CoA(4-)",C26H38N7O18P3S,-4,cpd02124,C03344,HMDB0001157,CHEBI:15476,53,,0,E
cpdAGORA0105,2mahmp[c],"2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate",C6H8N3O7P2,-3,cpd02894,C04752,NaN,CHEBI:16629,NaN,,0,E
cpdAGORA0106,2mbcoa[c],"2-methylbutanoyl-CoA(4-)",C26H40N7O17P3S,-4,cpd00760,C01033,HMDB0001041,CHEBI:90222,439371,,0,E
cpdAGORA0107,2mbutACP[c],"2-methylbutanoyl-ACP,2-methylbutyryl-ACP",C16H29N2O8PRS,-1,cpd11495,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0108,2me4p[c],"2-C-methyl-D-erythritol 4-phosphate",C5H11O7P,-2,cpd08286,C11434,NaN,CHEBI:17764,443198,,0,E
cpdAGORA0109,2mecdp[c],"2-C-methyl-D-erythritol 2,4-cyclodiphosphate",C5H10O9P2,-2,cpd08301,C11453,NaN,CHEBI:18425,NaN,,0,E
cpdAGORA0110,2mnptl[c],"2-Methylnaphthalene",C11H10,0,cpd09801,C14098,NaN,CHEBI:50720,7055,,0,E
cpdAGORA0111,2mop[c],"2-methyl-3-oxopropanoate",C4H5O3,-1,cpd00287,C00349,HMDB0001172,CHEBI:16256,296,,0,E
cpdAGORA0112,2mpropACP[c],"2-methylpropionyl-ACP,isobutyryl-ACP",C15H27N2O8PRS,-1,cpd11545,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0113,2obut[c],"2-Oxobutanoate",C4H5O3,-1,cpd00094,C00109,HMDB0000005,CHEBI:30831,58,,0,E
cpdAGORA0114,2odec11eg3p[c],"2-octadec-11-enoyl-sn-glycerol 3-phosphate",C21H40O7P1,-1,cpd15357,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0115,2odecg3p[c],"2-octadecanoyl-sn-glycerol 3-phosphate",C21H42O7P1,-1,cpd15358,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0116,2ohph[c],"2-Octaprenyl-6-hydroxyphenol",C46H70O2,0,cpd03445,C05811,NaN,CHEBI:1233,NaN,,0,E
cpdAGORA0117,2ombzl[c],"2-Octaprenyl-6-methoxy-1,4-benzoquinol",C47H72O3,0,cpd15359,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0118,2omhmbl[c],"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol",C48H74O4,0,cpd15360,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0119,2ommbl[c],"2-Octaprenyl-3-methyl-6-methoxy- 1,4-benzoquinol",C48H74O3,0,cpd15361,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0120,2omph[c],"2-Octaprenyl-6-methoxyphenol",C47H72O2,0,cpd03446,C05812,NaN,CHEBI:1235,NaN,,0,E
cpdAGORA0121,2oph[c],"2-Octaprenylphenol",C46H70O,0,cpd03444,C05810,NaN,CHEBI:40407,5280832,,0,E
cpdAGORA0122,2p4c2me[c],"2-phospho-4-(cytidine 5-diphospho)-2-C-methyl-D-erythritol",C14H22N3O17P3,-4,cpd08288,C11436,NaN,CHEBI:16840,443200,,0,E
cpdAGORA0123,2pg[c],"D-Glycerate 2-phosphate",C3H4O7P,-3,cpd00482,C00631,HMDB0003391,CHEBI:17835,439278,,0,E
cpdAGORA0124,2pglyc[c],"2-phosphonatoglycolate(3-)",C2H2O6P,-3,cpd00727,C00988,HMDB0000816,CHEBI:17150,529,,0,E
cpdAGORA0125,2tdec7eg3p[c],"2-tetradec-7-enoyl-sn-glycerol 3-phosphate",C17H32O7P1,-1,cpd15362,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0126,2tdecg3p[c],"2-tetradecanoyl-sn-glycerol 3-phosphate",C17H34O7P1,-1,cpd15363,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0127,34hpp[c],"3-(4-hydroxyphenyl)pyruvate",C9H7O4,-1,cpd02502,C01179,HMDB0000707,CHEBI:15999,979,,0,E
cpdAGORA0128,3c2hmp[c],"3-Carboxy-2-hydroxy-4-methylpentanoate",C7H10O5,-2,cpd02693,C04411,HMDB0012156,CHEBI:43468,5462261,,0,E
cpdAGORA0129,3c3hmp[c],"3-Carboxy-3-hydroxy-4-methylpentanoate",C7H10O5,-2,cpd01646,C02504,HMDB0000402,CHEBI:35128,77,,0,E
cpdAGORA0130,3c4mop[c],"3-Carboxy-4-methyl-2-oxopentanoate",C7H8O5,-2,cpd02605,C04236,HMDB0012149,CHEBI:1467,6419705,,0,E
cpdAGORA0131,3dhq[c],"3-Dehydroquinate",C7H9O6,-1,cpd00699,C00944,HMDB0012710,CHEBI:17947,5460271,,0,E
cpdAGORA0132,3dhsk[c],"3-Dehydroshikimate",C7H7O5,-1,cpd01716,C02637,NaN,CHEBI:16630,439774,,0,E
cpdAGORA0133,3h3mop[c],"(R)-3-Hydroxy-3-methyl-2-oxopentanoate",C6H9O4,-1,cpd10162,C14463,NaN,CHEBI:28710,17395463,,0,E
cpdAGORA0134,3haACP[c],"(3R)-3-Hydroxyacyl-[acyl-carrier protein]",C15H27N2O9PRS,-1,NaN,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0135,3hadpcoa[c],"(3S)-3-Hydroxyadipyl-CoA",C27H39N7O20P3S,-5,cpd09844,C14145,HMDB0012475,CHEBI:34002,53481427,,0,E
cpdAGORA0136,3hbcoa[c],"(S)-3-hydroxybutanoyl-CoA(4-)",C25H38N7O18P3S,-4,cpd00842,C01144,HMDB0062259,CHEBI:1,439419,,0,E
cpdAGORA0137,3hdcoa[c],"(S)-3-Hydroxydecanoyl-CoA",C31H50N7O18P3S,-4,cpd03118,C05264,HMDB0003938,CHEBI:28325,16061159,,0,E
cpdAGORA0138,3hddcoa[c],"(S)-3-Hydroxydodecanoyl-CoA",C33H54N7O18P3S,-4,cpd03116,C05262,HMDB0003936,CHEBI:27668,440603,,0,E
cpdAGORA0139,3hddecACP[c],"(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]",C23H43N2O9PRS,-1,NaN,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0140,3hdecACP[c],"(R)-3-Hydroxydecanoyl-[acyl-carrier protein]",C21H39N2O9PRS,-1,NaN,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0141,3hhcoa[c],"(S)-3-Hydroxyhexanoyl-CoA",C27H42N7O18P3S,-4,cpd03122,C05268,NaN,CHEBI:28276,NaN,,0,E
cpdAGORA0142,3hhdcoa[c],"(S)-3-Hydroxyhexadecanoyl-CoA",C37H62N7O18P3S,-4,cpd03113,C05258,HMDB0003932,CHEBI:27402,440600,,0,E
cpdAGORA0143,3hhexACP[c],"(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]",C17H31N2O9PRS,-1,NaN,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0144,3hmbcoa[c],"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA(4-)",C26H40N7O18P3S,-4,cpd02691,C04405,HMDB0001356,CHEBI:15449,440326,,0,E
cpdAGORA0145,3hmp[c],"3-hydroxy-2-methylpropanoate",C4H7O3,-1,cpd00876,C01188;C06001,HMDB0000023;HMDB0000336,CHEBI:37373,11966314,,0,E
cpdAGORA0146,3hmrsACP[c],"(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]",C25H47N2O9PRS,-1,cpd11484,C04688,NaN,NaN,NaN,,0,E
cpdAGORA0147,3hocoa[c],"(S)-3-Hydroxyoctanoyl-CoA",C29H46N7O18P3S,-4,cpd03120,C05266,HMDB0003940,CHEBI:28632,53477508,,0,E
cpdAGORA0148,3hoctACP[c],"(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]",C19H35N2O9PRS,-1,NaN,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0149,3hoctaACP[c],"(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]",C29H55N2O9PRS,-1,cpd15371,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0150,3hpalmACP[c],"R-3-hydroxypalmitoyl-[acyl-carrier protein]",C27H51N2O9PRS,-1,NaN,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0151,3htdcoa[c],"(S)-3-Hydroxytetradecanoyl-CoA",C35H58N7O18P3S,-4,cpd03115,C05260,HMDB0003934,CHEBI:27466,440602,,0,E
cpdAGORA0152,3ig3p[c],"C-(3-Indolyl)-glycerol 3-phosphate",C11H12NO6P,-2,cpd02210,C03506,NaN,CHEBI:18299,25246146,,0,E
cpdAGORA0153,3mb2coa[c],"3-methylbut-2-enoyl-CoA(4-)",C26H38N7O17P3S,-4,cpd01966,C03069,HMDB0001493,CHEBI:15486,439869,,0,E
cpdAGORA0154,3mbutACP[c],"3-methylbutanoyl-ACP,isovaleryl-ACP",C16H29N2O8PRS,-1,cpd11520,NaN,NaN,NaN,NaN,,0,E
cpdAGORA0155,3mgcoa[c],"trans-3-methylglutaconyl-CoA(5-)",C27H37N7O19P3S,-5,cpd02068,C03231,HMDB0001057,CHEBI:15488,5462214,,0,E
