mets,metNames,metID,metFormulas,metCharges,metKEGGID,metHMDBID,metChEBIID,metPubChemID,metInChIString,metSmiles,metAliases,metSource,b,csense
"12dgr180[c]","1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",cpd15311,C39H76O5,0,,,,,"",02/07/2014,"Name: 1,2-Diacyl-sn-glycerol dioctadecanoyl|BiGG: 12dgr180|iAF1260: 12dgr180|iMA945: 12dgr180",Secondary Database,0,E
"12dihdglyc[c]","1,2-Diisoheptadecanoyl-sn-glycerol",cpd15701,C37H72O5,0,,,,,"",02/07/2014,"Name: 1,2-Diisoheptadecanoyl-sn-glycerol",Orphan,0,E
"12m3hmyrsACP[c]","12-methyl-3-hydroxy-tetra-decanoyl-ACP",cpd11513,C26H49N2O9PRS,-1,,,,,"",02/07/2014,"Name: 12-methyl-3-hydroxy-tetra-decanoyl-ACP",Orphan,0,E
"12m3htridecACP[c]","12-methyl-3-hydroxy-tridecanoyl-ACP",cpd11563,C25H47N2O9PRS,-1,,,,,"",02/07/2014,"Name: 12-methyl-3-hydroxy-tridecanoyl-ACP",Orphan,0,E
"12m3omyrsACP[c]","12-methyl-3-oxo-tetra-decanoyl-ACP",cpd11512,C26H47N2O9PRS,-1,,,,,"",02/07/2014,"Name: 12-methyl-3-oxo-tetra-decanoyl-ACP",Orphan,0,E
"12m3otridecACP[c]","12-methyl-3-oxo-tridecanoyl-ACP",cpd11562,C25H45N2O9PRS,-1,,,,,"",02/07/2014,"Name: 12-methyl-3-oxo-tridecanoyl-ACP",Orphan,0,E
"12mmyrsACP[c]","12-methyl-tetra-decanoyl-ACP",cpd11515,C26H49N2O8PRS,-1,,,,,"",02/07/2014,"Name: 12-methyl-tetra-decanoyl-ACP",Orphan,0,E
"12mtmrs2eACP[c]","12-methyl-trans-tetra-dec-2-enoyl-ACP",cpd11514,C26H47N2O8PRS,-1,,,,,"",02/07/2014,"Name: 12-methyl-trans-tetra-dec-2-enoyl-ACP",Orphan,0,E
"12mtridecACP[c]","12-methyl-tridecanoyl-ACP",cpd11565,C25H47N2O8PRS,-1,,,,,"",02/07/2014,"Name: 12-methyl-tridecanoyl-ACP",Orphan,0,E
"12ppd_S[c]","(S)-propane-1,2-diol",cpd19024,C3H8O2,0,C02917,HMDB06213,29002,,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m0/s1",02/07/2014,"Name: (S)-1,2-Propanediol; (S)-1,2-dihydroxypropane; (S)-1,2-propane-diol; (S)-1,2-propanediol; (S)-Propane-1,2-diol; (S)-Propylene glycol; (S)-propane-1,2-diol; 1,2-dihydroxypropane; 1,2-propane-diol; 1,2-propanediol; L-1,2-propanediol; propane-1,2-diol; propanediol; propylene glycol|AraCyc: PROPANE-1-2-DIOL|BiGG: 12ppd__S|CornCyc: PROPANE-1-2-DIOL|KEGG: C02917|MetaCyc: PROPANE-1-2-DIOL",Primary Database,0,E
"13dpg[c]","3-Phospho-D-glyceroyl phosphate",cpd00203,C3H4O10P2,-4,C00236,HMDB01270,16001,439191,"1/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/t2-/m1/s1/f/h6-7,9-10H",02/07/2014,"Name: (R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydride with phosphoric propanoic acid; 1,3-Bisphospho-D-glycerate; 1,3-bisphospho-D-glycerate; 13-DPG; 3-P-glyceroyl-P; 3-Phospho-D-glyceroyl phosphate; 3-Phospho-D-glyceroylphosphate; 3-phospho-D-glyceroyl-phosphate; 3-phospho-d-glyceroyl-phosphate; 3-phosphoglyceroyl-P; 3-phosphoglyceroyl-phosphate; 3-phosphonato-D-glyceroyl phosphate; D-Glycerate 1,3-diphosphate; P-glyceroyl-P; glycerate 1,3-bisphosphate; phosphoglyceroyl-P|AraCyc: DPG|BiGG: 13dpg|BrachyCyc: DPG|KEGG: C00236|MetaCyc: DPG",Primary Database,0,E
"13m3hmyrsACP[c]","13-methyl-3-hydroxy-tetra-decanoyl-ACP",cpd11538,C26H49N2O9PRS,-1,,,,,"",02/07/2014,"Name: 13-methyl-3-hydroxy-tetra-decanoyl-ACP",Orphan,0,E
"13m3omyrsACP[c]","13-methyl-3-oxo-tetra-decanoyl-ACP",cpd11537,C26H47N2O9PRS,-1,,,,,"",02/07/2014,"Name: 13-methyl-3-oxo-tetra-decanoyl-ACP",Orphan,0,E
"13mmyrsACP[c]","13-methyl-tetra-decanoyl-ACP",cpd11540,C26H49N2O8PRS,-1,,,,,"",02/07/2014,"Name: 13-methyl-tetra-decanoyl-ACP",Orphan,0,E
"13mtmrs2eACP[c]","13-methyl-trans-tetra-dec-2-enoyl-ACP",cpd11539,C26H47N2O8PRS,-1,,,,,"",02/07/2014,"Name: 13-methyl-trans-tetra-dec-2-enoyl-ACP",Orphan,0,E
"14m3hpalmACP[c]","14-methyl-3-hydroxy-hexa-decanoyl-ACP",cpd11517,C28H53N2O9PRS,-1,,,,,"",02/07/2014,"Name: 14-methyl-3-hydroxy-hexa-decanoyl-ACP",Orphan,0,E
"14m3hpentdecACP[c]","14-methyl-3-hydroxy-pentadecanoyl-ACP",cpd11567,C27H51N2O9PRS,-1,,,,,"",02/07/2014,"Name: 14-methyl-3-hydroxy-pentadecanoyl-ACP",Orphan,0,E
"14m3opalmACP[c]","14-methyl-3-oxo-hexa-decanoyl-ACP",cpd11516,C28H51N2O9PRS,-1,,,,,"",02/07/2014,"Name: 14-methyl-3-oxo-hexa-decanoyl-ACP",Orphan,0,E
"14m3opentdecACP[c]","14-methyl-3-oxo-pentadecanoyl-ACP",cpd11566,C27H49N2O9PRS,-1,,,,,"",02/07/2014,"Name: 14-methyl-3-oxo-pentadecanoyl-ACP",Orphan,0,E
"14mpalmACP[c]","14-methyl-hexa-decanoyl-ACP",cpd11519,C28H53N2O8PRS,-1,,,,,"",02/07/2014,"Name: 14-methyl-hexa-decanoyl-ACP",Orphan,0,E
"14mpentdecACP[c]","14-methyl-pentadecanoyl-ACP",cpd11569,C27H51N2O8PRS,-1,,,,,"",02/07/2014,"Name: 14-methyl-pentadecanoyl-ACP",Orphan,0,E
"14mtpalm2eACP[c]","14-methyl-trans-hexa-dec-2-enoyl-ACP",cpd11518,C28H51N2O8PRS,-1,,,,,"",02/07/2014,"Name: 14-methyl-trans-hexa-dec-2-enoyl-ACP",Orphan,0,E
"15dap[c]","1,5-Diaminopentane",cpd01155,C5H16N2,2,,,,,"",02/07/2014,"Name: 1,5-Diaminopentane; 1,5-Pentanediamine; 1,5-pentanediamine; 1-BioDex; BioDex 1-; Cadaverine; Pentamethylenediamine; cadaverine; diaminopentane; pentamethylenediamine|AraCyc: CADAVERINE|BiGG: 15dap|ChlamyCyc: CADAVERINE|KEGG: C01672|MetaCyc: CADAVERINE",Primary Database,0,E
"15m3hpalmACP[c]","15-methyl-3-hydroxy-hexa-decanoyl-ACP",cpd11542,C28H53N2O9PRS,-1,,,,,"",02/07/2014,"Name: 15-methyl-3-hydroxy-hexa-decanoyl-ACP",Orphan,0,E
"15m3opalmACP[c]","15-methyl-3-oxo-hexa-decanoyl-ACP",cpd11541,C28H51N2O9PRS,-1,,,,,"",02/07/2014,"Name: 15-methyl-3-oxo-hexa-decanoyl-ACP",Orphan,0,E
"15mpalmACP[c]","15-methyl-hexa-decanoyl-ACP",cpd11544,C28H53N2O8PRS,-1,,,,,"",02/07/2014,"Name: 15-methyl-hexa-decanoyl-ACP",Orphan,0,E
"15mtpalm2eACP[c]","15-methyl-trans-hexa-dec-2-enoyl-ACP",cpd11543,C28H51N2O8PRS,-1,,,,,"",02/07/2014,"Name: 15-methyl-trans-hexa-dec-2-enoyl-ACP",Orphan,0,E
"15phytn[c]","15-cis-Phytoene",cpd03211,C40H64,0,,,,,"",02/07/2014,"Name: 15-cis-Phytoene; 15-cis-phytoene|AraCyc: CPD-12321|CornCyc: CPD-12321|KEGG: C05421|MaizeCyc: CPD-12321|MetaCyc: CPD-12321",Primary Database,0,E
"1agpe120[c]","1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)",cpd26432,C17H36NO7P1,0,,,,,"",02/07/2014,"",,0,E
"1agpe140[c]","1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)",cpd26431,C19H40NO7P1,0,,,,,"",02/07/2014,"",,0,E
"1agpe141[c]","1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)",cpd15315,C19H38NO7P1,0,,,,,"",02/07/2014,"Name: 1-Acyl-sn-glycero-3-phosphoethanolamine tetradec-7-enoyl|BiGG: 1agpe141|iAF1260: 1agpe141|iMA945: 1agpe141",Secondary Database,0,E
"1agpe160[c]","1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)",cpd25195,C21H44NO7P1,0,,,,,"",02/07/2014,"",,0,E
"1agpe161[c]","1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)",cpd15317,C21H42NO7P1,0,,,,,"",02/07/2014,"Name: 1-Acyl-sn-glycero-3-phosphoethanolamine hexadec-9-enoyl|BiGG: 1agpe161|iAF1260: 1agpe161|iMA945: 1agpe161",Secondary Database,0,E
"1agpe180[c]","1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)",cpd26433,C23H48NO7P1,0,,,,,"",02/07/2014,"",,0,E
"1agpe181[c]","1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)",cpd29665,C23H46NO7P1,0,,,,,"",02/07/2014,"",,0,E
"1agpg120[c]","1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)",cpd26430,C18H36O9P1,-1,,,,,"",02/07/2014,"",,0,E
"1agpg140[c]","1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)",cpd26429,C20H40O9P1,-1,,,,,"",02/07/2014,"",,0,E
"1agpg141[c]","1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)",cpd15320,C20H38O9P1,-1,,,,,"",02/07/2014,"Name: 1-Acyl-sn-glycero-3-phosphoglycerol tetradec-7-enoyl|BiGG: 1agpg141|iAF1260: 1agpg141|iMA945: 1agpg141",Secondary Database,0,E
"1agpg160[c]","1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)",cpd26434,C22H44O9P1,-1,,,,,"",02/07/2014,"",,0,E
"1agpg161[c]","1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)",cpd15322,C22H42O9P1,-1,,,,,"",02/07/2014,"Name: 1-Acyl-sn-glycero-3-phosphoglycerol hexadec-9-enoyl|BiGG: 1agpg161|iAF1260: 1agpg161|iMA945: 1agpg161",Secondary Database,0,E
"1agpg180[c]","1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)",cpd26428,C24H48O9P1,-1,,,,,"",02/07/2014,"",,0,E
"1agpg181[c]","1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)",cpd15324,C24H46O9P1,-1,,,,,"",02/07/2014,"Name: 1-Acyl-sn-glycero-3-phosphoglycerol octadec-11-enoyl|BiGG: 1agpg181|iAF1260: 1agpg181|iMA945: 1agpg181",Secondary Database,0,E
"1aihpdecg3p[c]","1-anteisoheptadecanoyl-sn-glycerol 3-phosphate (14-methyl-hexadecanoyl, anteiso-C17)",cpd15672,C20H39O7P,-2,,,,,"",02/07/2014,"Name: 1-anteisoheptadecanoyl-sn-glycerol 3-phosphate",Orphan,0,E
"1aipdecg3p[c]","1-anteisopentadecanoyl-sn-glycerol 3-phosphate (12-methyl-tetradecanoyl, anteiso-C15)",cpd15675,C18H36O7P,-1,,,,,"",02/07/2014,"Name: 1-anteisopentadecanoyl-sn-glycerol 3-phosphate",Orphan,0,E
"1ddecg3p[c]","1-acyl-sn-glycerol 3-phosphate(2-)",cpd15325,C15H29O7P1,-2,,,57970,,"",02/07/2014,"Name: 1-dodecanoyl-sn-glycerol 3-phosphate; 1-lauroyl-sn-glycerol 3-phosphate|BiGG: 1ddecg3p|EcoCyc: CPD0-2200|MetaCyc: CPD0-2200|iAF1260: 1ddecg3p|iJN746: 1ddecg3p",Primary Database,0,E
"1hdec9eg3p[c]","1-hexadec-9-enoyl-sn-glycerol 3-phosphate",cpd15326,C19H35O7P1,-2,,,,,"",02/07/2014,"Name: 1-hexadec-9-enoyl-sn-glycerol 3-phosphate|BiGG: 1hdec9eg3p|iAF1260: 1hdec9eg3p|iJN746: 1hdec9eg3p|iMA945: 1hdec9eg3p",Secondary Database,0,E
"1hdecg3p[c]","1-hexadecanoyl-sn-glycerol 3-phosphate",cpd15327,C19H37O7P1,-2,,,,,"",02/07/2014,"Name: 1-hexadecanoyl-sn-glycerol 3-phosphate|BiGG: 1hdecg3p|JP_Creinhardtii_MSB: M_1hdecg3p_c; M_1hdecg3p_h|iAF1260: 1hdecg3p|iGT196: 1hdecg3p|iJN746: 1hdecg3p",Secondary Database,0,E
"1ihdecg3p[c]","1-isohexadecanoyl-sn-glycerol 3-phosphate (14-methyl-pentadecanoyl, iso-C16)",cpd15676,C19H38O7P,-1,,,,,"",02/07/2014,"Name: 1-isohexadecanoyl-sn-glycerol 3-phosphate",Orphan,0,E
"1ihpdecg3p[c]","1-isoheptadecanoyl-sn-glycerol 3-phosphate (15-methyl-hexadecanoyl, iso-C17)",cpd15671,C20H39O7P,-2,,,,,"",02/07/2014,"Name: 1-isoheptadecanoyl-sn-glycerol 3-phosphate",Orphan,0,E
"1ipdecg3p[c]","1-isopentadecanoyl-sn-glycerol 3-phosphate (13-methyl-tetradecanoyl, iso-C15)",cpd15674,C18H36O7P,-1,,,,,"",02/07/2014,"Name: 1-isopentadecanoyl-sn-glycerol 3-phosphate",Orphan,0,E
"1itdecg3p[c]","1-isotetradecanoyl-sn-glycerol 3-phosphate (12-methyl-tridecanoyl, iso-C14)",cpd15673,C17H34O7P,-1,,,,,"",02/07/2014,"Name: 1-isotetradecanoyl-sn-glycerol 3-phosphate",Orphan,0,E
"1odec11eg3p[c]","1-octadec-11-enoyl-sn-glycerol 3-phosphate",cpd15328,C21H39O7P1,-2,,,,,"",02/07/2014,"Name: 1-octadec-11-enoyl-sn-glycerol 3-phosphate|BiGG: 1odec11eg3p|JP_Creinhardtii_MSB: M_1odec11eg3p_c; M_1odec11eg3p_h|iAF1260: 1odec11eg3p|iJN746: 1odec11eg3p|iMA945: 1odec11eg3p",Secondary Database,0,E
"1odecg3p[c]","1-octadecanoyl-sn-glycerol 3-phosphate",cpd15329,C21H41O7P1,-2,,,,,"",02/07/2014,"Name: 1-octadecanoyl-sn-glycerol 3-phosphate; 1-stearoyl-sn-glycerol 3-phosphate; 1-stearoylglycerol 3-phosphate|AraCyc: CPD0-2113|BiGG: 1odecg3p|EcoCyc: CPD0-2113|JP_Creinhardtii_MSB: M_1odecg3p_c; M_1odecg3p_h|MetaCyc: CPD0-2113",Primary Database,0,E
"1pyr5c[c]","1-Pyrroline-5-carboxylate",cpd02431,C5H6NO2,-1,C04322,HMDB01301,1372,1196,"InChI=1S/C5H7NO2/c7-5(8)4-2-1-3-6-4/h3-4H,1-2H2,(H,7,8)/p-1",02/07/2014,"Name: (S)-1-Pyrroline-5-carboxylate; (S)-1-pyrroline-5-carboxylate; 1-Pyrroline-5-carboxylate; 1-pyrroline-5-carboxylate; L-1-Pyrroline-5-carboxylate; L-1-pyrroline-5-carboxylate; L-delta1-pyrroline-5-carboxylate; delta-1-pyrroline-5-carboxylate; delta-1-pyrroline-5-carboxylic acid; pyrroline 5-carboxylate|AraCyc: L-DELTA1-PYRROLINE_5-CARBOXYLATE|BiGG: 1pyr5c|BrachyCyc: L-DELTA1-PYRROLINE_5-CARBOXYLATE|KEGG: C03912|MetaCyc: L-DELTA1-PYRROLINE_5-CARBOXYLATE",Primary Database,0,E
"1tdec7eg3p[c]","1-tetradec-7-enoyl-sn-glycerol 3-phosphate",cpd15330,C17H31O7P1,-2,,,,,"",02/07/2014,"Name: 1-tetradec-7-enoyl-sn-glycerol 3-phosphate|BiGG: 1tdec7eg3p|iAF1260: 1tdec7eg3p|iMA945: 1tdec7eg3p",Secondary Database,0,E
"1tdecg3p[c]","1-tetradecanoyl-sn-glycerol 3-phosphate",cpd15331,C17H33O7P1,-2,,,,,"",02/07/2014,"Name: 1-myristoyl-sn-glycerol 3-phosphate; 1-myristoylglycerol 3-phosphate; 1-tetradecanoyl-sn-glycerol 3-phosphate|BiGG: 1tdecg3p|EcoCyc: CPD0-2254|MetaCyc: CPD-18379; CPD0-2254|iAF1260: 1tdecg3p|iMA945: 1tdecg3p",Primary Database,0,E
"23dhdp[c]","2,3-Dihydrodipicolinate",cpd02120,C7H5NO4,-2,,,,,"",02/07/2014,"Name: (S)-2,3-Dihydropyridine-2,6-dicarboxylate; (S)-2,3-dihydrodipicolinate; 2,3-Dihydrodipicolinate; 2,3-di-H-dipicolinate; 2-3-Dihydrodipicolinate; Dihydrodipicolinate; Dihydrodipicolinic acid; L-2,3-Dihydrodipicolinate; L-2,3-dihydrodipicolinate|AraCyc: 2-3-DIHYDRODIPICOLINATE|BiGG: 23dhdp|BrachyCyc: 2-3-DIHYDRODIPICOLINATE|KEGG: C03340|MetaCyc: 2-3-DIHYDRODIPICOLINATE",Primary Database,0,E
"23dhmb[c]","(R)-2,3-Dihydroxy-3-methylbutanoate",cpd19030,C5H9O4,-1,,,,,"",02/07/2014,"Name: (2R)-2,3-Dihydroxy-3-methylbutanoate; (2R)-2,3-dihydroxy-3-methylbutanoate; (R)-2,3-Dihydroxy-3-methylbutanoate; (R)-2,3-Dihydroxy-isovalerate; (R)-2,3-Dihydroxy-isovaleric acid; (R)-2,3-dihydroxy-3-methylbutanoate; (R)-2,3-dihydroxy-isovalerate|AlgaGEM: S__40_R_41__45_2_44_3_45_Dihydroxy_45_3_45_methylbutanoate_c|AraGEM: S__40_R_41__45_2_44_3_45_Dihydroxy_45_3_45_methylbutanoate_c|BiGG: 23dhmb|KEGG: C04272|MetaCyc: CPD-13357",Primary Database,0,E
"23dhmp[c]","(R)-2,3-Dihydroxy-3-methylpentanoate",cpd02535,C6H11O4,-1,,,,,"",02/07/2014,"Name: (R)-2,3-Dihydroxy-3-methylpentanoate; (R)-2,3-Dihydroxy-3-methylvalerate; (R)-2,3-dihydroxy-3-methylpentanoate; (R)-2,3-dihydroxy-3-methylvalerate; 2,3-Dihydroxy-3-methylpentanoate; 2,3-Dihydroxy-3-methylvalerate; 2,3-dihydroxy-3-methylpentanoate; 2,3-dihydroxy-3-methylvalerate; R-2-3-Dihydroxy-3-methylpentanoate|AraCyc: 1-KETO-2-METHYLVALERATE|BiGG: 23dhmp|BrachyCyc: 1-KETO-2-METHYLVALERATE|KEGG: C04104|MetaCyc: 1-KETO-2-METHYLVALERATE",Primary Database,0,E
"25aics[c]","(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate",cpd02921,C13H15N4O12P,-4,C04823,HMDB00797,58443,160666,"InChI=1S/C13H19N4O12P/c14-10-7(11(22)16-4(13(23)24)1-6(18)19)15-3-17(10)12-9(21)8(20)5(29-12)2-28-30(25,26)27/h3-5,8-9,12,20-21H... <Preview truncated at 128 characters>",02/07/2014,"Name: (S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4- carboxamido]succinate; (S)-2-[5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate; 1-(5'-phosphoribosyl)-4-(N-succino-carboxamide)-5-aminoimidazole; 1-(5-Phosphoribosyl)-4-(N-succinocarboxamide)-5-aminoimidazole; 1-(5-phosphoribosyl)-4-(N-succino-carboxamide)- 5-aminoimidazole; 1-(5-phosphoribosyl)-4-(N-succino-carboxamide)-5-aminoimidazole; 5'-P-ribosyl-4-(N-succinocarboxamide)-5-aminoimidazole; 5'-p-Ribosyl-4-(N-succinocarboxamide)-5-amino imidazole; 5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole; 5-phosphoribosyl-4-(N-succino-carboxamide)- 5-aminoimidazole; S-2-5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido-succinate; SAICAR|AraCyc: P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE|BiGG: 25aics|BrachyCyc: P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE|ChlamyCyc: P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE|MetaCyc: P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE",Primary Database,0,E
"26dap_LL[c]","LL-2,6-Diaminoheptanedioate",cpd00504,C7H14N2O4,0,,,,,"",02/07/2014,"Name: L,L-2,6-diaminoheptanedioate; L,L-2,6-diaminopimelate; L,L-A2pm; L,L-DAP; L,L-diaminopimelate; LL-2,6-Diaminoheptanedioate; LL-2,6-Diaminopimelate; LL-2,6-Diaminopimelic acid; LL-2-6-Diaminoheptanedioate|AraCyc: LL-DIAMINOPIMELATE|BiGG: 26dap_LL|BrachyCyc: LL-DIAMINOPIMELATE|KEGG: C00666|MetaCyc: LL-DIAMINOPIMELATE",Primary Database,0,E
"26dap_M[c]","meso-2,6-Diaminoheptanedioate",cpd00516,C7H14N2O4,0,,,,,"",02/07/2014,"Name: D,L-DAP; D,L-diaminopimelate; D,L-meso-diaminoheptanedioate; M-DAP; meso-1-alpha,epsilon-diaminopimelate; meso-2,6-Diaminoheptanedioate; meso-2,6-Diaminopimelate; meso-2,6-Diaminopimelic acid; meso-2,6-diaminoheptanedioate; meso-2,6-diaminopimelate; meso-2-6-Diaminoheptanedioate; meso-A2pm; meso-Diaminoheptanedioate; meso-diaminoheptanedioate; meso-diaminopimelate|AraCyc: MESO-DIAMINOPIMELATE|BiGG: 26dap__M|BrachyCyc: MESO-DIAMINOPIMELATE|KEGG: C00680|MetaCyc: MESO-DIAMINOPIMELATE",Primary Database,0,E
"2agpe120[c]","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)",cpd26439,C17H36NO7P1,0,,,,,"",02/07/2014,"",,0,E
"2agpe140[c]","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)",cpd26435,C19H40NO7P1,0,,,,,"",02/07/2014,"",,0,E
"2agpe141[c]","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)",cpd15338,C19H38NO7P1,0,,,,,"",02/07/2014,"Name: 2-Acyl-sn-glycero-3-phosphoethanolamine tetradec-7-enoyl|BiGG: 2agpe141|iAF1260: 2agpe141|iMA945: 2agpe141",Secondary Database,0,E
"2agpe160[c]","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)",cpd15339,C21H44NO7P1,0,,,,,"",02/07/2014,"Name: 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0); 2-Acyl-sn-glycero-3-phosphoethanolamine hexadecanoyl|BiGG: 2agpe160|iAF1260: 2agpe160|iGT196: 2agpe160|iMA945: 2agpe160|iMEO21: 2agpe160",Secondary Database,0,E
"2agpe161[c]","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)",cpd15340,C21H42NO7P1,0,,,,,"",02/07/2014,"Name: 2-Acyl-sn-glycero-3-phosphoethanolamine hexadec-9-enoyl|BiGG: 2agpe161|iAF1260: 2agpe161|iMA945: 2agpe161",Secondary Database,0,E
"2agpe180[c]","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)",cpd15341,C23H48NO7P1,0,,,,,"",02/07/2014,"Name: 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0); 2-Acyl-sn-glycero-3-phosphoethanolamine octadecanoyl|BiGG: 2agpe180|iAF1260: 2agpe180|iGT196: 2agpe180|iMA945: 2agpe180|iMEO21: 2agpe180",Secondary Database,0,E
"2agpe181[c]","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)",cpd15342,C23H46NO7P1,0,,,,,"",02/07/2014,"Name: 2-Acyl-sn-glycero-3-phosphoethanolamine octadec-11-enoyl|BiGG: 2agpe181|iAF1260: 2agpe181|iMA945: 2agpe181",Secondary Database,0,E
